epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
68,1421.23,1.2435,1.6907,1.24443,0.00799,0.66644,0.75712,0.54903,0.58544,0.34983,0.79328,0.57844,0.62323,0.26789,1.63344,2.79174,1.87775,0.01316,0,0.000561279,0.000561279,0.000561279
69,1441.75,1.22793,1.71649,1.11714,0.00882,0.68735,0.69393,0.53455,0.5554,0.31415,0.73332,0.56396,0.59848,0.26059,1.67826,2.82498,1.8628,0.01369,0,0.000544776,0.000544776,0.000544776
70,1461.69,1.31398,1.82559,1.20528,0.00819,0.68695,0.62585,0.53777,0.526,0.30353,0.62585,0.53777,0.5319,0.24933,1.72893,2.79254,1.88077,0.0138,0,0.000528272,0.000528272,0.000528272
71,1481.91,1.25773,1.71838,1.17285,0.0077,0.66082,0.75106,0.50916,0.57548,0.31683,0.66005,0.4972,0.52135,0.25302,1.74022,2.7706,1.81022,0.01368,0,0.000511769,0.000511769,0.000511769
72,1502.1,1.1661,1.60911,1.07374,0.00767,0.59672,0.75153,0.53455,0.58007,0.32566,0.73802,0.52661,0.56722,0.26315,1.669,2.74342,1.85809,0.01316,0,0.000495266,0.000495266,0.000495266
73,1523.52,1.27094,1.61471,1.20092,0.00825,0.77361,0.65929,0.51307,0.53077,0.30865,0.63555,0.4972,0.50948,0.2528,1.68938,2.71669,1.84629,0.01375,0,0.000478762,0.000478762,0.000478762
74,1543.75,1.31942,1.51748,1.15126,0.00911,0.60682,0.81642,0.53455,0.59662,0.30208,0.78717,0.51867,0.5657,0.23878,1.67179,2.7251,1.97351,0.01392,0,0.000462259,0.000462259,0.000462259
75,1563.98,1.28318,1.86206,1.11962,0.00795,0.62892,0.87582,0.45931,0.59765,0.3071,0.84713,0.44357,0.55744,0.23117,1.69948,2.65259,1.95845,0.0138,0,0.000445756,0.000445756,0.000445756
76,1584.2,1.38589,1.67563,1.21278,0.00769,0.72365,0.8851,0.43044,0.54054,0.30925,0.86861,0.4225,0.51713,0.22973,1.73151,2.5729,1.97374,0.01339,0,0.000429253,0.000429253,0.000429253
77,1604.98,1.236,1.63314,1.116,0.00817,0.69847,0.75079,0.48366,0.57028,0.31174,0.65931,0.51307,0.54317,0.23567,1.72792,2.55797,1.97434,0.01327,0,0.000412749,0.000412749,0.000412749
